title,ratings,numofRatings,First Recommendation is: ,Second Recommendation is: ,Third Recommendation is: ,Fourth Recommendation is: 
'Til There Was You (1997),2.3333333333333335,9,Beautiful Girls (1996),Dumbo (1941),"Full Monty, The (1997)",Dave (1993)
1-900 (1994),2.6,5,Big Night (1996),Babe (1995),Annie Hall (1977),"Bridge on the River Kwai, The (1957)"
101 Dalmatians (1996),2.908256880733945,109,Murder at 1600 (1997),Miracle on 34th Street (1994),Being There (1979),"Remains of the Day, The (1993)"
12 Angry Men (1957),4.344,125,Ulee's Gold (1997),Rear Window (1954),Seven Years in Tibet (1997),Clerks (1994)
187 (1997),3.024390243902439,41,Conan the Barbarian (1981),"Magnificent Seven, The (1954)",Maverick (1994),Cool Hand Luke (1967)
2 Days in the Valley (1996),3.225806451612903,93,"Deer Hunter, The (1978)",North by Northwest (1959),"Bridge on the River Kwai, The (1957)",Ulee's Gold (1997)
"20,000 Leagues Under the Sea (1954)",3.5,72,True Romance (1993),Ben-Hur (1959),Kiss the Girls (1997),Seven Years in Tibet (1997)
2001: A Space Odyssey (1968),3.969111969111969,259,True Romance (1993),Natural Born Killers (1994),Being There (1979),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
3 Ninjas: High Noon At Mega Mountain (1998),1.0,5,,,,
"39 Steps, The (1935)",4.0508474576271185,59,Con Air (1997),"Frighteners, The (1996)",Swingers (1996),"River Wild, The (1994)"
8 1/2 (1963),3.8157894736842106,38,Star Trek VI: The Undiscovered Country (1991),"Rainmaker, The (1997)",One Fine Day (1996),"Close Shave, A (1995)"
8 Heads in a Duffel Bag (1997),3.25,4,G.I. Jane (1997),Kingpin (1996),Leaving Las Vegas (1995),Jerry Maguire (1996)
8 Seconds (1994),3.75,4,Aladdin (1992),"American President, The (1995)",Basic Instinct (1992),Beautiful Girls (1996)
A Chef in Love (1996),4.125,8,"Bridge on the River Kwai, The (1957)","Empire Strikes Back, The (1980)",In & Out (1997),Return of the Jedi (1983)
Above the Rim (1994),3.0,5,Father of the Bride Part II (1995),Ed Wood (1994),Fly Away Home (1996),Beauty and the Beast (1991)
Absolute Power (1997),3.37007874015748,127,Murder at 1600 (1997),Volcano (1997),"African Queen, The (1951)",Mimic (1997)
"Abyss, The (1989)",3.589403973509934,151,William Shakespeare's Romeo and Juliet (1996),Ghost (1990),Singin' in the Rain (1952),Amistad (1997)
Ace Ventura: Pet Detective (1994),3.0485436893203883,103,"Edge, The (1997)",Scream 2 (1997),Shine (1996),"Nightmare on Elm Street, A (1984)"
Ace Ventura: When Nature Calls (1995),2.675675675675676,37,Secrets & Lies (1996),"Killing Fields, The (1984)",Spawn (1997),"Good, The Bad and The Ugly, The (1966)"
Across the Sea of Time (1995),2.75,4,Alien (1979),Beauty and the Beast (1991),Being There (1979),Bonnie and Clyde (1967)
Addams Family Values (1993),2.8160919540229883,87,Father of the Bride Part II (1995),Jungle2Jungle (1997),"Fifth Element, The (1997)",Gattaca (1997)
Addicted to Love (1997),3.1666666666666665,54,Little Women (1994),Patton (1970),Stargate (1994),12 Angry Men (1957)
"Addiction, The (1995)",2.1818181818181817,11,Cop Land (1997),Seven Years in Tibet (1997),"Remains of the Day, The (1993)",Patton (1970)
"Adventures of Pinocchio, The (1996)",3.051282051282051,39,Harold and Maude (1971),In the Name of the Father (1993),What's Eating Gilbert Grape (1993),"Edge, The (1997)"
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111,"Devil's Advocate, The (1997)","Sex, Lies, and Videotape (1989)",Donnie Brasco (1997),Alien: Resurrection (1997)
"Adventures of Robin Hood, The (1938)",3.791044776119403,67,Mimic (1997),Gattaca (1997),"Peacemaker, The (1997)",Everyone Says I Love You (1996)
"Affair to Remember, An (1957)",4.1923076923076925,26,Fly Away Home (1996),G.I. Jane (1997),Star Trek: The Motion Picture (1979),Dante's Peak (1997)
"African Queen, The (1951)",4.184210526315789,152,Absolute Power (1997),"Wizard of Oz, The (1939)","Nutty Professor, The (1996)",Miracle on 34th Street (1994)
Afterglow (1997),3.111111111111111,18,Primal Fear (1996),This Is Spinal Tap (1984),It's a Wonderful Life (1946),Arsenic and Old Lace (1944)
"Age of Innocence, The (1993)",3.3846153846153846,65,Little Women (1994),Ulee's Gold (1997),"Remains of the Day, The (1993)",101 Dalmatians (1996)
Aiqing wansui (1994),5.0,1,,,,
Air Bud (1997),2.558139534883721,43,"Crying Game, The (1992)",Arsenic and Old Lace (1944),Miracle on 34th Street (1994),Waterworld (1995)
Air Force One (1997),3.6310904872389793,431,"Hunt for Red October, The (1990)","Firm, The (1993)",Murder at 1600 (1997),Eraser (1996)
"Air Up There, The (1994)",2.8125,16,Fly Away Home (1996),"Deer Hunter, The (1978)",G.I. Jane (1997),On Golden Pond (1981)
Airheads (1994),2.34375,32,"Postino, Il (1994)","Magnificent Seven, The (1954)","Last of the Mohicans, The (1992)",Alien: Resurrection (1997)
Akira (1988),3.38,50,Amistad (1997),"Ice Storm, The (1997)",Kolya (1996),Seven Years in Tibet (1997)
Aladdin (1992),3.8127853881278537,219,"Lion King, The (1994)",Cinderella (1950),Grumpier Old Men (1995),Mrs. Doubtfire (1993)
Aladdin and the King of Thieves (1996),2.8461538461538463,26,"Rainmaker, The (1997)",Kiss the Girls (1997),Big Night (1996),Bound (1996)
Alaska (1996),2.6923076923076925,13,Crash (1996),Austin Powers: International Man of Mystery (1997),Aliens (1986),Lost Highway (1997)
Albino Alligator (1996),2.5,6,Babe (1995),Batman (1989),Beavis and Butt-head Do America (1996),"Cable Guy, The (1996)"
Alice in Wonderland (1951),3.6666666666666665,81,G.I. Jane (1997),"Hunchback of Notre Dame, The (1996)",Welcome to the Dollhouse (1995),"Devil's Advocate, The (1997)"
Alien (1979),4.034364261168385,291,Ulee's Gold (1997),Swingers (1996),"Magnificent Seven, The (1954)",Alien: Resurrection (1997)
Alien 3 (1992),2.83,100,Ulee's Gold (1997),William Shakespeare's Romeo and Juliet (1996),Alien: Resurrection (1997),"Peacemaker, The (1997)"
Alien: Resurrection (1997),3.096774193548387,124,Miracle on 34th Street (1994),Outbreak (1995),Kolya (1996),Batman (1989)
